1, 2, 11, 1, 0, 1, 0, 0 
2, 1, 4, 0, 0, 0, 0, 1
7, 1, 5, 0, 0, 0, 0, 1
8, 1, 7, 1, 1, 1, 1, 1
9, 2, 11, 1, 0, 1, 0, 0 
12, 1, 4, 0, 0, 0, 0, 1
17, 1, 5, 0, 0, 0, 0, 1
18, 1, 7, 1, 1, 1, 1, 1
21, 2, 11, 1, 0, 1, 0, 0 
22, 1, 4, 0, 0, 0, 0, 1
27, 1, 5, 0, 0, 0, 0, 1
28, 1, 7, 1, 1, 1, 1, 1
31, 2, 11, 1, 0, 1, 0, 0 
32, 1, 4, 0, 0, 0, 0, 1
37, 1, 5, 0, 0, 0, 0, 1
38, 0, 7, 1, 1, 1, 1, 1
1, 2, 11, 1, 0, 1, 0, 0 
2, 1, 4, 0, 0, 0, 0, 1
7, 1, 5, 0, 0, 0, 0, 1
8, 1, 7, 1, 1, 1, 1, 1
9, 2, 11, 1, 0, 1, 0, 0 
12, 1, 4, 0, 0, 0, 0, 1
17, 1, 5, 0, 0, 0, 0, 1
18, 1, 7, 1, 1, 1, 1, 1
21, 2, 11, 1, 0, 1, 0, 0 
22, 1, 4, 0, 0, 0, 0, 1
27, 1, 5, 0, 0, 0, 0, 1
28, 1, 7, 1, 1, 1, 1, 1
31, 2, 11, 1, 0, 1, 0, 0 
32, 1, 4, 0, 0, 0, 0, 1
37, 1, 5, 0, 0, 0, 0, 1
38, 0, 7, 1, 1, 1, 1, 1
41, 2, 11, 1, 0, 1, 0, 0 
42, 1, 4, 0, 0, 0, 0, 1
47, 1, 5, 0, 0, 0, 0, 1
48, 1, 7, 1, 1, 1, 1, 1
49, 2, 11, 1, 0, 1, 0, 0 
52, 1, 4, 0, 0, 0, 0, 1
57, 1, 5, 0, 0, 0, 0, 1
58, 1, 7, 1, 1, 1, 1, 1
61, 2, 11, 1, 0, 1, 0, 0 
62, 1, 4, 0, 0, 0, 0, 1
67, 1, 5, 0, 0, 0, 0, 1
68, 1, 7, 1, 1, 1, 1, 1
71, 2, 11, 1, 0, 1, 0, 0 
72, 1, 4, 0, 0, 0, 0, 1
77, 1, 5, 0, 0, 0, 0, 1
78, 0, 7, 1, 1, 1, 1, 1
81, 2, 11, 1, 0, 1, 0, 0 
82, 1, 4, 0, 0, 0, 0, 1
87, 1, 5, 0, 0, 0, 0, 1
88, 1, 7, 1, 1, 1, 1, 1
89, 2, 11, 1, 0, 1, 0, 0 
92, 1, 4, 0, 0, 0, 0, 1
97, 1, 5, 0, 0, 0, 0, 1
108, 1, 7, 1, 1, 1, 1, 1
121, 2, 11, 1, 0, 1, 0, 0 
122, 1, 4, 0, 0, 0, 0, 1
127, 1, 5, 0, 0, 0, 0, 1
128, 1, 7, 1, 1, 1, 1, 1
131, 2, 11, 1, 0, 1, 0, 0 
132, 1, 4, 0, 0, 0, 0, 1
137, 1, 5, 0, 0, 0, 0, 1
138, 0, 7, 1, 1, 1, 1, 1
